treatment	pieces	gender	slice_cond	genderd	taste_general	taste_first	sat_first	enj_first	taste_middle	sat_middle	enj_middle	taste_last	sat_last	enj_last	ate_more_pizza	was_hungry	am_hungry	feel_guilty	physic_uncomf	overate	ate_more_general	felt_rushed	mmff	salad	calories	mixedgroup	male_1	group	id
1	4	1		1	5	5	7	7	5	7	7	5	7	7	5	6	1	2	2	1	1	1	1	7.8		1	1	2	118
1	0	1		1												5	5	1	1	1	1	1	2	5.3	0	0		3	119
1	1	1	1	1	8	8	8	8	8	8	8	8	8	8	1	3	1	1	1	1	1	1	2	7.9		0		3	120
1	1	1	1	1	7	7	7	8							2	5	1	1	1	1	1	1	2		100	0		3	121
2	4	1		1	8	8	8	8	8	8	8	8	8	8	8	5	1	3	1	3	8	1	1	8	700	1	0	4	122
2	1	2	1	0	7	7	7	7							1	8	1	3	1	1	2	1	3	5.4	600	1		4	123
2	3	1	3	1	6	6	6	6	6	6	6	6	6	6	2	9	1	1	3	2	2	1	1	5.4	600	1	0	4	124
2	3	2	3	0	8	8	8	8	8	8	8	8	8	8	2	8	2	2	1	1	1	9	3	4.4	500	1		3	125
1	2	2	2	0	7	7	7	7	7	7	7				1	5	1	1	1	1	1	1	3	5.5	1000	1		3	126
2	2	1	2	1	6	6	6	6				6	6	6	2	5	1	1	1	1	1	1	1	8	300	1	1	3	127
1	2	2	2	0	8	8	8	8	8	8	8				2	9	1	1	1	1	1	1	4	5.5	300	0		3	128
1	0	2		0												5	1	1	1	1	1	1	4	5.3		0		3	129
1	1	2	1	0	7	7	7	7							2	9	1	5	3	5	5	2	4	7.9	100	0		3	130
2	0	1		1	5	4	6	7	7	7	7	7	7	7	6	8	1	1	1	1	1	1	2	3.3		0		2	131
1	2	1	2	1	7	8	4	6	5	6	5	2	3	2	8	7	1	8	8	8	8	5	2	2.3	400	0		5	132
1	2	1	2	1	8	8	8	8	7	7	7	7	7	7	3	8	2	3	3	3	3	3		0	300		1	2	133
1	2	1	2	1	9	9	9	9	7	7	7	4	5	5	8	9	3	4	4	6	4	3	2	0	600	0		5	134
2	3	2	3	0	9	9	8	7	9	8	8	9	8	8	7	8	3	2	2	6	6	7	3		800	1		3	135
2	1	1	1	1	6	6	7	8							1	3	1	1	1	1	1	1	1	0	200	1	1	3	136
2	2	2	2	0	9	9	9	9	9	9	9	9	9	9	2	5	1	1	1	2	2	1	3	0	1000	1		3	137
1	2	2	2	0	7	7	8	7				7	8	7	9	9	1	9	6	9	9	1	3	9.2	800	1		2	138
1	1	2	1	0	8	8	8	8				8	8	8	1	6	2	2	1	1	3	1	4	5.4	130	0		3	139
